angle,height,distance
13.0,1.0,7.170438327312285
14.0,1.0,7.386656814621753
15.0,1.0,7.60172022512631
16.0,1.0,7.815031569784971
17.0,1.0,8.026001831439265
18.0,1.0,8.234052626149447
19.0,1.0,8.438618433410083
20.0,1.0,8.63914843371592
21.0,1.0,8.83510799621247
22.0,1.0,9.0259798604266
23.0,1.0,9.211265055100581
24.0,1.0,9.390483594636043
25.0,1.0,9.56317499016795
26.0,1.0,9.728898608289148
27.0,1.0,9.887233906277148
28.0,1.0,10.037780568579802
29.0,1.0,10.180158565457614
30.0,1.0,10.314008151154617
31.0,1.0,10.438989815825417
32.0,1.0,10.554784202697274
33.0,1.0,10.661091999583116
34.0,1.0,10.757633811859376
35.0,1.0,10.844150022349066
36.0,1.0,10.920400642167891
37.0,1.0,10.986165155463315
38.0,1.0,11.041242360066235
39.0,1.0,11.085450205350092
40.0,1.0,11.118625628022206
41.0,1.0,11.140624386131327
42.0,1.0,11.151320891240031
43.0,1.0,11.15060803846225
44.0,1.0,11.138397033887328
45.0,1.0,11.114617218789522
46.0,1.0,11.07921588994401
47.0,1.0,11.032158115327475
48.0,1.0,10.97342654446621
49.0,1.0,10.903021212700216
50.0,1.0,10.820959338653635
51.0,1.0,10.72727511423549
52.0,1.0,10.62201948653695
53.0,1.0,10.505259931039829
54.0,1.0,10.377080215603215
55.0,1.0,10.237580154750155
56.0,1.0,10.086875353832061
57.0,1.0,9.925096942704876
58.0,1.0,9.7523912986067
59.0,1.0,9.568919757981348
60.0,1.0,9.374858317045467
61.0,1.0,9.170397320948751
62.0,1.0,8.955741141426252
63.0,1.0,8.731107842889815
64.0,1.0,8.496728836951215
65.0,1.0,8.25284852541337
66.0,1.0,7.999723931807441
67.0,1.0,7.737624321593267
68.0,1.0,7.466830811177961
69.0,1.0,7.187635965943115
70.0,1.0,6.900343387504571
71.0,1.0,6.605267290460578
72.0,1.0,6.302732068913932
73.0,1.0,5.993071853082032
74.0,1.0,5.67663005633522
75.0,1.0,5.353758913028668
76.0,1.0,5.024819007516313
77.0,1.0,4.690178794757195
78.0,1.0,4.350214112944715
